
=== Load cell level indicator ===
Reset cause visible to application: unknown.
Waiting for the first HX711 conversion...
Stored calibration loaded from EEPROM.
Calibration factor: 46.606666 counts/g
Stored tare offset loaded: -166704
Normal measurement started.

Controls:
  Hold button on D4 for 3 s = tare
  Serial command 't'    = tare
  Serial command 's'    = save calibration
  Serial command 'x'    = clear calibration
  Serial command 'z'    = clear tare
  Serial command 'c'    = calibrate/confirm
  Serial command 'q'    = cancel current tare/calibration
  Serial command 'd'    = toggle diagnostic capture
 Hold button on D8 for 3 s = start calibration
 Press button on D8 = confirm calibration step
LED operation status:
 All LEDs on = tare in progress
 All LEDs blinking slowly = tare required
 LOW blinking = waiting for empty platform
 MEDIUM blinking = waiting for reference mass
 HIGH blinking = reset-required fault
 LOW/HIGH alternating = HX711 recovery

Provisional levels:
 VERY_LOW: below 100 g, LOW LED blinking
Weight: 8.93 g | Level: VERY_LOW
Weight: 23.52 g | Level: VERY_LOW
Weight: 23.15 g | Level: VERY_LOW
Weight: 23.09 g | Level: VERY_LOW
Weight: 23.69 g | Level: VERY_LOW
Weight: 17.10 g | Level: VERY_LOW
Weight: 20.75 g | Level: VERY_LOW
Weight: 28.52 g | Level: VERY_LOW
Weight: 25.04 g | Level: VERY_LOW
Weight: 25.70 g | Level: VERY_LOW
Weight: 24.37 g | Level: VERY_LOW
Weight: 24.55 g | Level: VERY_LOW
Weight: 24.52 g | Level: VERY_LOW
Weight: 21.93 g | Level: VERY_LOW
Weight: 22.34 g | Level: VERY_LOW
Weight: 25.19 g | Level: VERY_LOW
Weight: 28.79 g | Level: VERY_LOW
Weight: 28.06 g | Level: VERY_LOW
Weight: 26.35 g | Level: VERY_LOW
Weight: 23.86 g | Level: VERY_LOW
Weight: 30.51 g | Level: VERY_LOW
Weight: 27.27 g | Level: VERY_LOW
Weight: 25.94 g | Level: VERY_LOW
Weight: 28.73 g | Level: VERY_LOW
Weight: 20.45 g | Level: VERY_LOW
Weight: 21.11 g | Level: VERY_LOW
Weight: 24.22 g | Level: VERY_LOW
Weight: 16.48 g | Level: VERY_LOW
Weight: 32.06 g | Level: VERY_LOW
Weight: 25.88 g | Level: VERY_LOW
Weight: 26.09 g | Level: VERY_LOW
Weight: 27.49 g | Level: VERY_LOW
Weight: 19.18 g | Level: VERY_LOW
Weight: 22.44 g | Level: VERY_LOW
Weight: 24.29 g | Level: VERY_LOW
Weight: 26.31 g | Level: VERY_LOW
Weight: 28.73 g | Level: VERY_LOW
Weight: 22.08 g | Level: VERY_LOW
Weight: 22.57 g | Level: VERY_LOW
Weight: 19.85 g | Level: VERY_LOW
Weight: 23.19 g | Level: VERY_LOW
Weight: 19.16 g | Level: VERY_LOW
Weight: 28.04 g | Level: VERY_LOW
Weight: 22.55 g | Level: VERY_LOW
Weight: 24.63 g | Level: VERY_LOW
Weight: 16.93 g | Level: VERY_LOW
Weight: 26.13 g | Level: VERY_LOW
Weight: 28.04 g | Level: VERY_LOW
Weight: 24.57 g | Level: VERY_LOW
Weight: 28.21 g | Level: VERY_LOW
Weight: 24.27 g | Level: VERY_LOW
Weight: 24.67 g | Level: VERY_LOW
Weight: 27.66 g | Level: VERY_LOW
Weight: 29.01 g | Level: VERY_LOW
Weight: 22.01 g | Level: VERY_LOW
Weight: 26.41 g | Level: VERY_LOW
Weight: 23.41 g | Level: VERY_LOW
Weight: 26.16 g | Level: VERY_LOW
Weight: 31.52 g | Level: VERY_LOW
Weight: 20.79 g | Level: VERY_LOW
Weight: 20.79 g | Level: VERY_LOW
Weight: 19.12 g | Level: VERY_LOW
Weight: 18.84 g | Level: VERY_LOW
Weight: 28.69 g | Level: VERY_LOW
Weight: 23.77 g | Level: VERY_LOW
Weight: 30.12 g | Level: VERY_LOW
Weight: 31.28 g | Level: VERY_LOW
Weight: 22.94 g | Level: VERY_LOW
Weight: 29.59 g | Level: VERY_LOW
Weight: 23.92 g | Level: VERY_LOW
Weight: 16.65 g | Level: VERY_LOW
Weight: 23.49 g | Level: VERY_LOW
Weight: 22.06 g | Level: VERY_LOW
Weight: 26.35 g | Level: VERY_LOW
Weight: 19.83 g | Level: VERY_LOW
Weight: 21.56 g | Level: VERY_LOW
Weight: 16.39 g | Level: VERY_LOW
Weight: 22.59 g | Level: VERY_LOW
Weight: 26.84 g | Level: VERY_LOW
Weight: 25.75 g | Level: VERY_LOW
Weight: 21.86 g | Level: VERY_LOW
Weight: 27.87 g | Level: VERY_LOW
Weight: 25.70 g | Level: VERY_LOW
Weight: 23.79 g | Level: VERY_LOW
Weight: 26.69 g | Level: VERY_LOW
Weight: 24.67 g | Level: VERY_LOW
Weight: 20.47 g | Level: VERY_LOW
Weight: 27.87 g | Level: VERY_LOW
Weight: 18.11 g | Level: VERY_LOW
Weight: 17.64 g | Level: VERY_LOW
Weight: 18.35 g | Level: VERY_LOW
Weight: 19.40 g | Level: VERY_LOW
Weight: 21.86 g | Level: VERY_LOW
Weight: 23.54 g | Level: VERY_LOW
Weight: 23.43 g | Level: VERY_LOW
Weight: 29.52 g | Level: VERY_LOW
Weight: 21.22 g | Level: VERY_LOW
Weight: 23.92 g | Level: VERY_LOW
Weight: 18.19 g | Level: VERY_LOW
Weight: 22.92 g | Level: VERY_LOW
Weight: 26.39 g | Level: VERY_LOW
Weight: 19.76 g | Level: VERY_LOW
Weight: 24.72 g | Level: VERY_LOW
Weight: 21.16 g | Level: VERY_LOW
Weight: 25.70 g | Level: VERY_LOW
Weight: 26.80 g | Level: VERY_LOW
Weight: 26.82 g | Level: VERY_LOW
Weight: 24.85 g | Level: VERY_LOW
Weight: 20.64 g | Level: VERY_LOW
Weight: 21.80 g | Level: VERY_LOW
Weight: 16.82 g | Level: VERY_LOW
Weight: 21.20 g | Level: VERY_LOW
Weight: 25.77 g | Level: VERY_LOW
Weight: 24.72 g | Level: VERY_LOW
Weight: 25.49 g | Level: VERY_LOW
Weight: 25.28 g | Level: VERY_LOW
Weight: 21.61 g | Level: VERY_LOW
Weight: 25.02 g | Level: VERY_LOW
Weight: 21.99 g | Level: VERY_LOW
Weight: 23.84 g | Level: VERY_LOW
Weight: 25.77 g | Level: VERY_LOW
Weight: 28.43 g | Level: VERY_LOW
Weight: 25.62 g | Level: VERY_LOW
Weight: 28.86 g | Level: VERY_LOW
Weight: 30.66 g | Level: VERY_LOW
Weight: 25.30 g | Level: VERY_LOW
Weight: 22.57 g | Level: VERY_LOW
Weight: 23.32 g | Level: VERY_LOW
Weight: 23.13 g | Level: VERY_LOW
